file_pair,direction,cycle_index,ref_rise_ms,next_rise_ms,offset_ms
F0030,SMU1->SMU2,0,-1001.5100,-751.5000,250.0100
F0030,SMU1->SMU2,1,-500.5096,-251.5370,248.9726
F0030,SMU1->SMU2,2,-0.5000,248.4545,248.9545
F0030,SMU1->SMU2,3,498.5000,748.4717,249.9717
F0030,SMU2->SMU1,0,-751.5000,-500.5096,250.9904
F0030,SMU2->SMU1,1,-251.5370,-0.5000,251.0370
F0030,SMU2->SMU1,2,248.4545,498.5000,250.0455
F0030,SMU2->SMU1,3,748.4717,999.5000,251.0283
F0031,SMU1->SMU2,0,-1000.6375,-751.5098,249.1277
F0031,SMU1->SMU2,1,-501.4900,-251.5098,249.9802
F0031,SMU1->SMU2,2,-0.5000,248.4906,248.9906
F0031,SMU1->SMU2,3,499.5000,748.5098,249.0098
F0031,SMU2->SMU1,0,-751.5098,-501.4900,250.0198
F0031,SMU2->SMU1,1,-251.5098,-0.5000,251.0098
F0031,SMU2->SMU1,2,248.4906,499.5000,251.0094
F0031,SMU2->SMU1,3,748.5098,999.3929,250.8831
F0032,SMU1->SMU2,0,-999.5000,-750.5000,249.0000
F0032,SMU1->SMU2,1,-499.5100,-250.5098,249.0002
F0032,SMU1->SMU2,2,-0.4796,249.5000,249.9796
F0032,SMU1->SMU2,3,500.5000,749.4902,248.9902
F0032,SMU2->SMU1,0,-750.5000,-499.5100,250.9900
F0032,SMU2->SMU1,1,-250.5098,-0.4796,250.0302
F0032,SMU2->SMU1,2,249.5000,500.5000,251.0000
F0032,SMU2->SMU1,3,749.4902,1000.4904,251.0002
F0033,SMU1->SMU2,0,-1001.5526,-752.5000,249.0526
F0033,SMU1->SMU2,1,-501.5000,-251.5000,250.0000
F0033,SMU1->SMU2,2,-0.6220,248.5000,249.1220
F0033,SMU1->SMU2,3,498.7727,748.5000,249.7273
F0033,SMU2->SMU1,0,-752.5000,-501.5000,251.0000
F0033,SMU2->SMU1,1,-251.5000,-0.6220,250.8780
F0033,SMU2->SMU1,2,248.5000,498.7727,250.2727
F0033,SMU2->SMU1,3,748.5000,998.4554,249.9554
F0034,SMU1->SMU2,0,-1000.5100,-751.5000,249.0100
F0034,SMU1->SMU2,1,-500.5000,-251.5000,249.0000
F0034,SMU1->SMU2,2,-0.5000,248.4902,248.9902
F0034,SMU1->SMU2,3,498.5795,748.5000,249.9205
F0034,SMU2->SMU1,0,-751.5000,-500.5000,251.0000
F0034,SMU2->SMU1,1,-251.5000,-0.5000,251.0000
F0034,SMU2->SMU1,2,248.4902,498.5795,250.0893
F0034,SMU2->SMU1,3,748.5000,998.5100,250.0100
