file_pair,channel,pulse_index,rise_time_ms,fall_time_ms,width_ms
F0030,CH1,0,-1001.5100,-900.5000,101.0100
F0030,CH1,1,-500.5096,-401.5000,99.0096
F0030,CH1,2,-0.5000,98.5000,99.0000
F0030,CH1,3,498.5000,599.5000,101.0000
F0030,CH1,4,999.5000,1098.4474,98.9474
F0030,CH2,0,-751.5000,-651.5094,99.9906
F0030,CH2,1,-251.5370,-151.5000,100.0370
F0030,CH2,2,248.4545,348.6667,100.2121
F0030,CH2,3,748.4717,847.5098,99.0381
F0031,CH1,0,-1000.6375,-901.5182,99.1193
F0031,CH1,1,-501.4900,-400.5000,100.9900
F0031,CH1,2,-0.5000,99.5000,100.0000
F0031,CH1,3,499.5000,599.5000,100.0000
F0031,CH1,4,999.3929,1099.5000,100.1071
F0031,CH2,0,-751.5098,-651.5000,100.0098
F0031,CH2,1,-251.5098,-151.4902,100.0196
F0031,CH2,2,248.4906,348.5098,100.0192
F0031,CH2,3,748.5098,848.5094,99.9996
F0032,CH1,0,-999.5000,-899.5000,100.0000
F0032,CH1,1,-499.5100,-399.4900,100.0200
F0032,CH1,2,-0.4796,100.5100,100.9896
F0032,CH1,3,500.5000,599.5000,99.0000
F0032,CH1,4,1000.4904,1100.5096,100.0192
F0032,CH2,0,-750.5000,-650.5000,100.0000
F0032,CH2,1,-250.5098,-150.5000,100.0098
F0032,CH2,2,249.5000,349.5098,100.0098
F0032,CH2,3,749.4902,848.5000,99.0098
F0033,CH1,0,-1001.5526,-900.5426,101.0101
F0033,CH1,1,-501.5000,-400.6892,100.8108
F0033,CH1,2,-0.6220,98.5000,99.1220
F0033,CH1,3,498.7727,598.4722,99.6995
F0033,CH1,4,998.4554,1099.0192,100.5639
F0033,CH2,0,-752.5000,-652.5098,99.9902
F0033,CH2,1,-251.5000,-152.4902,99.0098
F0033,CH2,2,248.5000,347.4808,98.9808
F0033,CH2,3,748.5000,847.5000,99.0000
F0034,CH1,0,-1000.5100,-901.5526,98.9574
F0034,CH1,1,-500.5000,-401.5278,98.9722
F0034,CH1,2,-0.5000,99.5000,100.0000
F0034,CH1,3,498.5795,598.4688,99.8892
F0034,CH1,4,998.5100,1099.5000,100.9900
F0034,CH2,0,-751.5000,-651.5098,99.9902
F0034,CH2,1,-251.5000,-151.5000,100.0000
F0034,CH2,2,248.4902,347.5000,99.0098
F0034,CH2,3,748.5000,848.5098,100.0098
