file,pulse_index,rise_time_ms,fall_time_ms,width_ms,gap_to_next_ms,period_ms,rise_1090_ms,fall_9010_ms
F0020CH1,0,-400.2145,-350.6075,49.6070,50.3903,99.9973,0.3084,0.3200
F0020CH1,1,-300.2172,-250.2073,50.0100,49.9862,99.9962,0.2924,0.3084
F0020CH1,2,-200.2211,-150.6179,49.6032,50.0067,99.6099,0.2975,0.3029
F0020CH1,3,-100.6111,-50.2226,50.3885,49.9476,100.3361,0.3141,0.3200
F0020CH1,4,-0.2750,49.7179,49.9929,49.6709,99.6639,0.6047,0.6125
F0020CH1,5,99.3889,149.3855,49.9966,50.3967,100.3933,0.3141,0.3084
F0020CH1,6,199.7821,249.3821,49.6000,50.0028,99.6028,0.3029,0.3029
F0020CH1,7,299.3849,349.0488,49.6639,50.7367,100.4005,0.3200,0.5860
F0020CH1,8,399.7855,450.5889,50.8034,48.8038,99.6073,0.3084,0.3141
F0021CH1,0,-400.6075,-350.6211,49.9865,50.0032,99.9897,0.3200,0.2975
F0021CH1,1,-300.6179,-250.2179,50.4000,49.5979,99.9979,0.3029,0.3029
F0021CH1,2,-200.6200,-149.4140,51.2060,49.1962,100.4021,0.3392,0.2975
F0021CH1,3,-100.2179,-50.2172,50.0006,50.0297,100.0304,0.3029,0.2924
F0021CH1,4,-0.1875,49.3789,49.5664,49.9969,99.5634,0.3533,0.2975
F0021CH1,5,99.3759,149.3609,49.9850,50.4181,100.4031,0.2924,0.4802
F0021CH1,6,199.7789,249.3700,49.5911,50.0121,99.6032,0.2975,0.2827
F0021CH1,7,299.3821,349.7821,50.4000,49.5123,99.9123,0.3029,0.3029
F0021CH1,8,399.2944,449.3889,50.0944,49.9901,100.0845,0.6288,0.3141
F0022CH1,0,-400.2175,-349.7872,50.4303,49.5697,100.0000,0.3032,0.3677
F0022CH1,1,-300.2175,-250.3086,49.9090,50.0910,100.0000,0.3032,0.6583
F0022CH1,2,-200.2175,-150.2246,49.9930,49.9509,99.9439,0.3032,0.3032
F0022CH1,3,-100.2737,-50.2246,50.0491,50.0070,100.0561,0.5796,0.3032
F0022CH1,4,-0.2175,49.7818,49.9994,50.0108,100.0101,0.3032,0.3142
F0022CH1,5,99.7926,149.7786,49.9860,50.0105,99.9965,0.3200,0.3086
F0022CH1,6,199.7891,249.7898,50.0007,49.9913,99.9920,0.3142,0.2929
F0022CH1,7,299.7811,349.7793,49.9982,50.0031,100.0013,0.3260,0.2979
F0022CH1,8,399.7825,449.7745,49.9921,nan,nan,0.3032,0.3142
F0023CH1,0,-400.2179,-350.1316,50.0863,49.9205,100.0067,0.3029,0.6224
F0023CH1,1,-300.2111,-249.8391,50.3720,49.6562,100.0281,0.3141,0.4995
F0023CH1,2,-200.1830,-150.1957,49.9873,50.0223,100.0096,0.3609,0.3687
F0023CH1,3,-100.1733,-50.1696,50.0038,49.9656,99.9693,0.4751,0.4899
F0023CH1,4,-0.2040,49.8082,50.0122,49.9740,99.9861,0.3392,0.3461
F0023CH1,5,99.7821,149.8615,50.0794,49.9274,100.0067,0.3029,0.6126
F0023CH1,6,199.7889,249.8000,50.0111,49.9925,100.0036,0.3141,0.3325
F0023CH1,7,299.7925,349.7789,49.9865,50.0099,99.9964,0.3200,0.2975
F0023CH1,8,399.7889,449.7849,49.9960,nan,nan,0.3141,0.3200
F0024CH1,0,-400.2179,-350.2073,50.0106,49.9831,99.9937,0.3029,0.3084
F0024CH1,1,-300.2241,-250.2179,50.0063,50.0000,100.0063,0.2924,0.3029
F0024CH1,2,-200.2179,-150.2111,50.0067,49.9976,100.0043,0.3029,0.3141
F0024CH1,3,-100.2136,-50.2179,49.9957,50.0349,100.0306,0.2875,0.3029
F0024CH1,4,-0.1830,49.7821,49.9651,50.0000,99.9651,0.3609,0.3029
F0024CH1,5,99.7821,150.5855,50.8033,49.2070,100.0103,0.3029,0.3084
F0024CH1,6,199.7925,249.7789,49.9865,50.0000,99.9865,0.3200,0.2975
F0024CH1,7,299.7789,349.7821,50.0032,50.0000,100.0032,0.2975,0.3029
F0024CH1,8,399.7821,449.7821,50.0000,nan,nan,0.3029,0.3029
F0025CH1,0,-400.1800,-350.1962,49.9838,50.0132,99.9970,0.3392,0.3262
F0025CH1,1,-300.1830,-250.1962,49.9868,49.9816,99.9684,0.3609,0.3262
F0025CH1,2,-200.2145,-149.3571,50.8574,49.1460,100.0034,0.3084,0.5679
F0025CH1,3,-100.2111,-50.1875,50.0236,50.0247,100.0483,0.3141,0.3533
